,x,y
0,-102.29805162752577,20.792518439388317
1,-103.01442170397445,20.751325973296257
2,-103.77503185400846,20.727287225262593
3,-103.89850796792632,20.73868135850038
4,-103.13640851114403,20.614562771643914
5,-103.11053955227639,20.612287020506766
6,-103.08701816499762,20.618215577593748
7,-103.02320274330674,20.617684640714796
8,-103.0572569939522,20.606711252126818
9,-103.10175419435687,20.605052619058245
10,-103.14841670022119,20.603246674284538
11,-102.93431439643619,20.763417267427865
12,-103.56096585431824,20.7723319444256
13,-103.61066055212275,20.745811941131983
14,-103.75466985504475,20.740477783837115
15,-103.69218764958252,20.74329465123216
16,-103.64307947184754,20.745426625421878
17,-103.69157812293857,20.74352517890819
18,-103.75480247295538,20.74053557848154
19,-103.64885749300514,20.74246974184462
20,-102.71877878772649,20.73092535880387
21,-103.94509329846207,20.71326510363899
22,-103.79344104375241,20.714578550893687
23,-102.63501857677387,20.77652136456342
24,-103.29732686952467,20.754518130707577
25,-103.2966139298046,20.630208449968137
26,-103.09883980042726,20.63180013960765
27,-103.32752600434594,20.633152885050883
28,-103.26326219523882,20.628494707224544
29,-103.206794010852,20.630477010190557
30,-103.02249287941495,20.658788077922402
31,-103.03816579365063,20.660279926477443
32,-103.49248780312973,20.738545952871693
33,-103.36279901312403,20.743460983730643
34,-103.42642872002969,20.741172576172062
35,-103.38593000322442,20.73983873399826
36,-103.41380143506497,20.740088734482686
37,-103.39954330864613,20.743068526182725
38,-103.49309074315143,20.73854629640313
39,-103.49297606757261,20.738511346599385
40,-103.36785811378427,20.74384614575563
41,-103.49242216992455,20.738577304635633
42,-103.42679566013356,20.741184048314057
43,-103.422209646723,20.74084651963515
44,-103.47360826020575,20.73964450313083
45,-103.36810340332495,20.74380526551441
46,-103.46890525657788,20.739997644409602
47,-103.3972048558008,20.742513704828486
48,-103.42849629803518,20.741111762067096
49,-103.49182218145529,20.738559522363527
50,-103.74528963503649,20.67245868552142
51,-103.42873215814261,20.741143294637055
52,-103.50295268758379,20.737997260841542
53,-102.58857785677229,20.63361896681031
54,-102.65945716673477,20.634118886416452
56,-102.59150756770552,20.63193096180372
57,-102.46215284683045,20.634806193382158
58,-102.58681985001229,20.626622008868097
59,-102.82084780457176,20.745920207777008
60,-104.38580214232981,20.741994900033507
61,-104.34020699549343,20.742379492519532
62,-104.41698170519295,20.74472065023457
63,-104.49485179813392,20.74014801173648
64,-104.37301466574104,20.739607989355004
65,-104.38563228825521,20.74193199761901
66,-104.3821418444999,20.741204271467442
67,-104.38250239992986,20.74121146754705
68,-104.41687091323575,20.744664763093656
69,-104.34746229970679,20.74214133482944
70,-104.28941076279085,20.7161463018161
71,-104.2621473041456,20.721001133310544
72,-104.35691598230136,20.719842989387082
73,-104.291222363529,20.71613341938714
74,-104.29122480244337,20.716119461162368
75,-104.30493024290408,20.719142275654967
76,-104.30673805322756,20.719841181326878
77,-104.33148649405473,20.731439525924422
78,-104.39483713944621,20.730583942795523
79,-104.44103892351205,20.738091578302093
80,-104.48916532170483,20.736013005170506
81,-104.42047854915667,20.734297445326405
82,-104.46268211370938,20.728645232161025
83,-104.46471149241275,20.728617162026357
84,-104.46239192950291,20.731734131254086
85,-104.46344634830363,20.728616411681372
86,-104.33712472036899,20.731776810515203
87,-104.43381771749641,20.717208220775497
88,-102.9581488968234,20.59723589565977
90,-103.81973566308265,20.733145096235894
91,-103.80377181898515,20.73390956217081
92,-104.43412593724162,20.718827031318074
93,-103.49366989987439,20.738497966953876
