dia,week_day,mes,Horacerr,mun,calle,cruce,Colonia,tipo_acc,causa,tipo_auto,sexo,edad,marca_mal,marca_bien,submarca,modelo,ruta,cinturon,alcohol,monto,herido,Consec,conse_g,conse_m,conse_sem,Id,x,y,_merge,lat,long,,,,,
13,miercoles,febrero,16:01 A 18:00,zapopan,CARRETERA A TESISTAN,LIC ELISEO OROZCO GUTIERREZ,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,N.D,N.D,CHEVROLET,CHEVROLET,MALIBU,1990,,2,,,,,1918,2072,6088,652,661726.7685,2297394.593,matched (3),,,,,,,
16,sabado,febrero,10:01 A 12:00,zapopan,CARRETERA A TESISTAN,LIC ELISEO OROZCO GUTIERREZ,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,CHRYSLER,CHRYSLER,STRATUS,1997,,1,,,,,2411,2564,6580,653,661725.1533,2297397.729,matched (3),,,,,,,
16,sabado,febrero,14:01 A 16:00,zapopan,CARRETERA A TESISTAN,TERCERA PONIENTE COL JARDINES DE NUEVO MEXICO,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,BUICK,BUICK,SEDAN,1981,,1,,,,,2438,2591,6607,654,,,master only (1),,,,,,,
5,martes,marzo,08:01 A 10:00,zapopan,CARRETERA A TESISTAN,CUARTA PONIENTE COL JARDINES NUEVO MEXICO,COL JARDINES DE NUEVO MEXICO,CONTRA OBJETO FIJO,SIN ELEMENTOS,SIN DATOS,N.D,N.D,SIN DATOS,N.D.,SIN DATOS,N.D.,,,,,,489,483,638,9127,655,661131.2204,2297844.277,matched (3),,,,,,,
5,martes,marzo,08:01 A 10:00,zapopan,CARRETERA A TESISTAN,CUARTA PONIENTE COL JARDINES NUEVO MEXICO,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,NISSAN,NISSAN,VERSA,2016,,,,,,522,516,668,9157,656,661134.4204,2297841.156,matched (3),,,,,,,
7,jueves,marzo,14:01 A 16:00,zapopan,COPALITA AV,PRIMERA NORTE COL JARDINES DE NUEVO MEXICO,COL JARDINES DE NUEVO MEXICO,CONTRA OBJETO FIJO,SIN ELEMENTOS,CAMION DE CARGA,masculino,30 A 39,DAIMLER,CAMION,FREIGHTLINER,2013,,,,,,786,782,929,9418,657,662442.5195,2296976.018,matched (3),,,,,,,
10,domingo,marzo,02:01 A 04:00,zapopan,CARRETERA A TESISTAN,CUARTA PONIENTE COL JARDINES NUEVO MEXICO,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,N.D,N.D,VOLKSWAGEN,VOLKSWAGEN,LEON,1990,,,,,,1140,1138,1286,9775,658,661135.96,2297845.898,matched (3),,,,,,,
19,martes,marzo,08:01 A 10:00,zapopan,CARRETERA A TESISTAN,LIC ELISEO OROZCO GUTIERREZ,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,CHEVROLET,CHEVROLET,CHEVY,1998,,,,,,2189,2189,2310,10799,659,661728.3535,2297394.609,matched (3),,,,,,,
25,lunes,marzo,18:01 A 20:00,zapopan,CARRETERA A TESISTAN,BASE AEREA MILITAR AV,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,N.D,N.D,GM,GENERAL MOTORS,GM,2006,,,,,,2989,2998,3104,11593,660,662635.3085,2296709.984,matched (3),,,,,,,
3,viernes,mayo,08:01 A 10:00,zapopan,BASE AEREA MILITAR AV,PROFA IDOLINA GAONA DE COSIO,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,20 A 29,NISSAN,NISSAN,SENTRA,2011,,2,,,,282,288,412,16827,661,662583.8474,2296644.102,matched (3),,,,,,,
13,lunes,mayo,02:01 A 04:00,zapopan,2 DE FEBRERO COL JARDINES NUEVO MEXICO,ATOTONILCO COL JARDINES NUEVO MEXICO,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,NISSAN,NISSAN,PICKUP,1994,,2,,,,1660,1668,1782,18197,662,662853.9288,2296487.171,matched (3),,,,,,,
29,miercoles,mayo,06:01 A 08:00,zapopan,CARRETERA A TESISTAN,LIC ELISEO OROZCO GUTIERREZ,COL JARDINES DE NUEVO MEXICO,CHOQUE,SIN ELEMENTOS,TRANSPORTE PUBLICO,N.D,20 A 29,MERCEDES,MERCEDES-BENZ,AUTOBUS,2018,,2,,,,3676,3644,3734,20150,663,661729.4938,2297391.229,matched (3),,,,,,,
28,jueves,febrero,22:01 A 24:00,zapopan,LAZARO CARDENAS CALZ,SAN IGNACIO AV,COL JARDINES DE SAN IGNACIO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,FORD,FORD,F-350,2000,,2,,,,,4099,4232,8248,664,666184.3815,2286558.226,matched (3),,,,,,,
12,martes,marzo,22:01 A 24:00,zapopan,SAN GILBERTO,SAN JUAN BOSCO,COL JARDINES DE SAN IGNACIO,CHOQUE,SIN ELEMENTOS,MOTOCICLETA,N.D,N.D,KTM,KTM,400,2018,,,,,,1317,1317,1461,9950,665,666231.303,2286230.175,matched (3),,,,,,,
16,sabado,marzo,16:01 A 18:00,zapopan,LAZARO CARDENAS CALZ,SAN GILBERTO,COL JARDINES DE SAN IGNACIO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,CHEVROLET,CHEVROLET,CAVALIER,1999,,,,,,1900,1899,2038,10527,666,666329.5286,2286405.986,matched (3),,,,,,,
5,domingo,mayo,00:01 A 02:00,zapopan,GUADALUPE AV,SAN DIONISIO,COL JARDINES DE SAN IGNACIO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,40 A 49,TOYOTA,TOYOTA,COROLA,2003,,2,,,,517,524,644,17059,667,666379.4576,2286105.655,matched (3),,,,,,,
7,martes,mayo,18:01 A 20:00,zapopan,LAZARO CARDENAS CALZ,SAN IGNACIO AV,COL JARDINES DE SAN IGNACIO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,30 A 39,GENERAL MOTORS,GENERAL MOTORS,BLAZER,1996,,2,,,,705,706,826,17241,668,666179.4449,2286560.349,matched (3),,,,,,,
9,jueves,mayo,18:01 A 20:00,zapopan,SAN IGNACIO AV,SAN JUAN BOSCO,COL JARDINES DE SAN IGNACIO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,MERCEDES BENZ,MERCEDES-BENZ,SPRINTER,2018,,2,,,,1116,1120,1236,17651,669,666138.5018,2286280.304,matched (3),,,,,,,
11,sabado,mayo,00:01 A 02:00,zapopan,LAZARO CARDENAS CALZ,SAN DIONISIO,COL JARDINES DE SAN IGNACIO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,40 A 49,CHEVROLET,CHEVROLET,SUBURBAN,1993,,1,,,,1288,1292,1408,17823,670,666466.2944,2286328.598,matched (3),,,,,,,
11,viernes,enero,14:01 A 16:00,zapopan,LAZARO CARDENAS CALZ,TONANTZIN AV,COL JARDINES DEL BOSQUE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,50 A 59,VW,VOLKSWAGEN,SAVEIRO,2017,,2,,,,1070,1077,1238,1236,671,667965.7215,2285494.153,matched (3),,,,,,,
9,jueves,mayo,08:01 A 10:00,zapopan,LAZARO CARDENAS CALZ,TONANTZIN AV,COL JARDINES DEL BOSQUE,CHOQUE,SIN ELEMENTOS,TAXI,masculino,40 A 49,NISSAN,NISSAN,SENTRA,2000,N.D.,1,,,,1000,1003,1119,17534,672,667961.352,2285494.11,matched (3),,,,,,,
25,sabado,mayo,10:01 A 12:00,zapopan,LAZARO CARDENAS CALZ,TONANTZIN AV,COL JARDINES DEL BOSQUE,CHOQUE,SIN ELEMENTOS,FORANEO,masculino,30 A 39,DINA,CAMION,OMNIBUS,1996,,1,,,,3255,3233,3323,19739,673,667962.6995,2285495.933,matched (3),,,,,,,
25,lunes,febrero,22:01 A 24:00,zapopan,DR MATEO DEL REGIL AV,TLALPAN COL EL IXTEPETE,COL JARDINES DEL IXTEPETE,CHOQUE,SIN ELEMENTOS,CAMION DE CARGA,masculino,40 A 49,KENWORTH,KENWORTH,ESTACAS,1991,,2,,,,,3770,3913,7929,674,662624.3328,2281792.038,matched (3),,,,,,,
13,miercoles,marzo,06:01 A 08:00,zapopan,LABNA AV,AXAYACATL,COL JARDINES DEL SOL,CHOQUE,SIN ELEMENTOS,MOTOCICLETA,masculino,30 A 39,SANYANB,SYM,12YCC,1998,,,,,,1581,1576,1715,10204,675,664808.5659,2284153.002,matched (3),,,,,,,
6,lunes,mayo,10:01 A 12:00,zapopan,LABNA AV,TENOCHTITLAN COL CIUDAD DEL SOL,COL JARDINES DEL SOL,CONTRA OBJETO FIJO,SIN ELEMENTOS,SIN DATOS,N.D,N.D,SIN DATOS,N.D.,SIN DATOS,N.D.,,,,,,576,576,696,17111,676,664825.6916,2284030.527,matched (3),,,,,,,
8,miercoles,mayo,10:01 A 12:00,zapopan,LABNA AV,CHIMALPOPOCA,COL JARDINES DEL SOL,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,40 A 49,FORD,FORD,TOPAZ,1993,,1,,,,890,894,1010,17425,677,664767.1745,2284430.011,matched (3),,,,,,,
10,viernes,mayo,14:01 A 16:00,zapopan,MOCTEZUMA AV,PRADO DE LOS LAURELES,COL JARDINES DEL SOL,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,CHEVROLET,CHEVROLET,PICKUP,1979,,2,,,,1229,1233,1349,17764,678,665415.2712,2284303.738,matched (3),,,,,,,
3,jueves,enero,08:01 A 10:00,zapopan,ACUEDUCTO AV ZAP,FEDERALISTAS AV COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,NISSAN,NISSAN,CHASIS,1999,,1,,,,220,222,398,396,679,663614.0128,2295142.98,matched (3),,,,,,,
7,lunes,enero,10:01 A 12:00,zapopan,TESISTAN AV,VALLE DE TESISTAN,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,FORD,FORD,LINCOLN,1993,,2,,,,590,593,769,767,680,663221.6567,2295633.934,matched (3),,,,,,,
12,sabado,enero,08:01 A 10:00,zapopan,FEDERALISTAS JALISCIENSES CALZ,DEL VALLE AV,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,CHRYSLER,CHRYSLER,SPIRIT,1991,,1,,,,1140,1148,1304,1302,681,663520.2085,2294777.544,matched (3),,,,,,,
18,viernes,enero,08:01 A 10:00,zapopan,CARRETERA A TESISTAN,FEDERALISTAS AV COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,CHEVROLET,CHEVROLET,TORNADO,2007,,2,,,,1914,1925,2073,2071,682,663649.8358,2295295.286,matched (3),,,,,,,
9,sabado,febrero,02:01 A 04:00,zapopan,ACUEDUCTO AV ZAP,FEDERALISTAS AV COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,N.D,N.D,HONDA,HONDA,ACCOR,2000,,2,,,,,1245,1399,5415,683,663613.9776,2295146.597,matched (3),,,,,,,
11,lunes,febrero,18:01 A 20:00,zapopan,DEL SERVIDOR PUBLICO CALZ,VALLE DE ATEMAJAC AV COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,VW,VOLKSWAGEN,JETTA,2006,,2,,,,,1640,1792,5808,684,663396.2299,2294333.112,matched (3),,,,,,,
12,martes,febrero,18:01 A 20:00,zapopan,FEDERALISTAS JALISCIENSES CALZ,VALLE DE ATEMAJAC COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,10 A 19,FORD,FORD,RANGER,1993,,1,,,,,1804,1957,5973,685,663401.2503,2294331.464,matched (3),,,,,,,
12,martes,febrero,16:01 A 18:00,zapopan,FEDERALISTAS JALISCIENSES CALZ,VALLE DE ATEMAJAC COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,50 A 59,NISSAN,NISSAN,VERSA,2019,,2,,,,,1807,1960,5976,686,663398.2363,2294337.315,matched (3),,,,,,,
13,miercoles,febrero,18:01 A 20:00,zapopan,DEL SERVIDOR PUBLICO CALZ,VALLE DE ATEMAJAC AV COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,NISSAN,NISSAN,NP300,2014,,2,,,,,1966,2121,6137,687,663405.6428,2294335.917,matched (3),,,,,,,
15,viernes,febrero,08:01 A 10:00,zapopan,DEL SERVIDOR PUBLICO CALZ,VALLE DE ATEMAJAC AV COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,VW,VOLKSWAGEN,SEDAN,1998,,2,,,,,2212,2363,6379,688,663401.2217,2294334.404,matched (3),,,,,,,
15,viernes,marzo,10:01 A 12:00,zapopan,DEL SERVIDOR PUBLICO CALZ,CIRCUITO FEDERALISTAS JALISCIENSES,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,N.D,N.D,NISSAN,NISSAN,XTRAIL,2015,,,,,,1828,1826,1965,10454,689,663374.1174,2292719.186,matched (3),,,,,,,
15,viernes,marzo,08:01 A 10:00,zapopan,DEL SERVIDOR PUBLICO CALZ,CIRCUITO FEDERALISTAS JALISCIENSES,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,N.D,N.D,SERV IN TEGRAL,N.D.,ESCAPE,2008,,,,,,1833,1831,1970,10459,690,663374.5748,2292721.579,matched (3),,,,,,,
17,domingo,marzo,16:01 A 18:00,zapopan,FEDERALISTAS JALISCIENSES AV,TESISTAN AV,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,VOLKSWAGEN,VOLKSWAGEN,TOLEDO,2015,,,,,,2050,2051,2179,10668,691,663651.8598,2295294.458,matched (3),,,,,,,
20,miercoles,marzo,08:01 A 10:00,zapopan,DEL VALLE AV,FEDERALISTAS AV COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,20 A 29,FORD,FORD,TOPAZ,1989,,,,,,2402,2405,2527,11016,692,663520.9457,2294772.491,matched (3),,,,,,,
30,sabado,marzo,14:01 A 16:00,zapopan,FEDERALISTAS JALISCIENSES CALZ,TESISTAN AV,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,30 A 39,CHEVROLET,CHEVROLET,CHEVY,1997,,,,,,3885,3895,4000,12489,693,663651.8505,2295295.413,matched (3),,,,,,,
30,sabado,marzo,16:01 A 18:00,zapopan,FEDERALISTAS JALISCIENSES AV,TESISTAN AV,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,N.D,CHEVROLET,CHEVROLET,CHEVY,N.D.,,,,,,3901,3911,4016,12505,694,663650.3905,2295297.31,matched (3),,,,,,,
14,martes,mayo,18:01 A 20:00,zapopan,TESISTAN AV,VALLE DE LOS DIAMANTES,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,femenino,40 A 49,VOYAGER,VOLKSWAGEN,YOYAGER,N.D.,,N.D.,,,,1759,1767,1878,18294,695,663098.0894,2295739.064,matched (3),,,,,,,
20,lunes,mayo,08:01 A 10:00,zapopan,FEDERALISTAS JALISCIENSES CALZ,TESISTAN AV,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,N.D,20 A 29,CHEVROLET,CHEVROLET,SONIC,2018,,2,,,,2418,2415,2510,18926,696,663651.3584,2295296.603,matched (3),,,,,,,
25,sabado,mayo,12:01 A 14:00,zapopan,ACUEDUCTO AV ZAP,FEDERALISTAS AV COL JARDINES DEL VALLE,COL JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,HYUNDAI,HYUNDAI,GRAND I10,2017,,2,,,,3286,3259,3349,19765,697,663612.6905,2295146.947,matched (3),,,,,,,
8,viernes,febrero,16:01 A 18:00,zapopan,DEL RODEO BLV,DE LOS CHARROS BLV,COL JARDINES DEL VIGIA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,20 A 29,CHRYSLER,CHRYSLER,ASTRA,2000,,1,,,,,1076,1236,5252,698,667137.521,2293743.858,matched (3),,,,,,,
25,lunes,marzo,10:01 A 12:00,zapopan,LAZARO CARDENAS CALZ,SAN IGNACIO AV,COL JARDINES E SAN IGNACIO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,20 A 29,NISSAN,NISSAN,ICHI VAN,1992,,,,,,3049,3060,3166,11655,699,666189.5185,2286555.103,matched (3),,,,,,,
6,lunes,mayo,10:01 A 12:00,zapopan,LABNA AV,TENOCHTITLAN COL CIUDAD DEL SOL,COL JARDINES EL SOL,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,N.D,VALIANT,CHRYSLER,DUSTER,1976,,2,,,,667,668,788,17203,700,664826.1635,2284029.985,matched (3),,,,,,,
28,jueves,marzo,20:01 A 22:00,zapopan,FEDERALISTAS JALISCIENSES AV,TESISTAN AV,COL JARDINES EL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,60 A 69,HONDA,HONDA,CRV6,1990,,,,,,3538,3548,3655,12144,701,663652.3541,2295293.029,matched (3),,,,,,,
17,viernes,mayo,14:01 A 16:00,zapopan,LAURELES AV,VIGIA,COL JARDINES EL VIGIA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,STRATUS,DODGE,STRATUS,1995,,1,,,,2004,2001,2104,18520,702,667240.7474,2293269.28,matched (3),,,,,,,
27,domingo,enero,22:01 A 24:00,zapopan,GUADALUPE AV,MANUEL J CLOUTHIER,COL JARDINES TEPEYAC,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,DODGE,DODGE,RAM,2000,,2,,,,3056,3075,3203,3201,703,664444.6135,2285618.331,matched (3),,,,,,,
1,martes,enero,16:01 A 18:00,zapopan,PATRIA AV,COLONIA JARDINES UNIVERSIDAD,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,VOLKSWAGEN,VOLKSWAGEN,GOLF,2002,,2,,,,64,65,241,241,704,,,master only (1),,,,,,,
3,jueves,enero,18:01 A 20:00,zapopan,NACIONES UNIDAS AV,PATRIA AV,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,40 A 49,VOLKSWAGEN,VOLKSWAGEN,JETTA,2016,,2,,,,228,230,406,404,705,664560.5824,2288408.007,matched (3),,,,,,,
9,miercoles,enero,14:01 A 16:00,zapopan,NACIONES UNIDAS AV,PATRIA AV,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,CAMION DE CARGA,masculino,20 A 29,KENWORTH,KENWORTH,CAMION,2015,,2,,,,862,867,1036,1034,706,664559.956,2288406.731,matched (3),,,,,,,
17,jueves,enero,18:01 A 20:00,zapopan,PATRIA AV,WILLIAM SHAKESPEARE AV,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,40 A 49,BMW,BMW,SERIE 1,2017,,2,,,,1742,1753,1905,1903,707,664524.2505,2288202.498,matched (3),,,,,,,
31,jueves,enero,08:01 A 10:00,zapopan,JUAN PALOMAR Y ARIAS AV,NACIONES UNIDAS AV,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,60 A 69,CHRYSLER,CHRYSLER,GRAND VOYAGER,1993,,1,,,,3593,3610,3726,3724,708,663835.9124,2288424.462,matched (3),,,,,,,
8,viernes,febrero,08:01 A 10:00,zapopan,PATRIA AV,LEON TOLSTOI,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,BICICLETA,masculino,20 A 29,BENOTTO,BENOTTO,BICICLETA,1990,,2,,,,,1103,1263,5279,709,664541.7437,2288308.74,matched (3),,,,,,,
13,miercoles,febrero,18:01 A 20:00,zapopan,NACIONES UNIDAS AV,PATRIA AV,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,30 A 39,DODGE,DODGE,CAJA,1996,,1,,,,,1914,2068,6084,710,664558.1447,2288395.916,matched (3),,,,,,,
16,sabado,febrero,02:01 A 04:00,zapopan,PATRIA AV,LEON TOLSTOI,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,NISSAN,NISSAN,TSURU,2001,,2,,,,,2394,2547,6563,711,664541.7375,2288309.375,matched (3),,,,,,,
7,jueves,marzo,16:01 A 18:00,zapopan,INGLATERRA AV,JUAN PALOMAR Y ARIAS AV,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,20 A 29,VOLKSWAGEN,VOLKSWAGEN,JETTA,2001,,,,,,878,874,1022,9511,712,663807.0241,2288175.201,matched (3),,,,,,,
22,miercoles,mayo,16:01 A 18:00,zapopan,JUAN PALOMAR Y ARIAS AV,NACIONES UNIDAS AV,COL JARDINES UNIVERSIDAD,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,VOLKSWAGEN,VOLKSWAGEN,,2017,,2,,,,2707,2699,2790,19206,713,663835.9309,2288422.557,matched (3),,,,,,,
19,sabado,enero,06:01 A 08:00,zapopan,PATRIA AV,VALLARTA AV,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,FORD,FORD,RANGER,1997,,2,,,,2065,2076,2217,2215,714,664396.3124,2287430.786,matched (3),,,,,,,
22,martes,enero,22:01 A 24:00,zapopan,PATRIA AV,VALLARTA AV,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,MOTOCICLETA,masculino,20 A 29,YAMAHA,YAMAHA,MOTO,1988,,2,,,,2466,2482,2614,2612,715,664398.2352,2287430.169,matched (3),,,,,,,
26,sabado,enero,02:01 A 04:00,zapopan,INGLATERRA AV,PATRIA AV,COL JARDINES VALLARTA,CONTRA OBJETO FIJO,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,N.D,N.D,GRAND CHEROKEE,JEEP,CHRYSLER,2000,,2,,,,2908,2927,3059,3057,716,664460.5089,2287793.464,matched (3),,,,,,,
30,miercoles,enero,08:01 A 10:00,zapopan,JUAN PALOMAR Y ARIAS AV,JOAQUIN FERNANDEZ DE LIZARDI,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,50 A 59,CHRYSLER,CHRYSLER,SHADOW,1992,,1,,,,3453,3470,3593,3591,717,663711.313,2287808.764,matched (3),,,,,,,
4,lunes,marzo,00:01 A 02:00,zapopan,DE LOS NOVELISTAS AV,BENEDETTO CROCE,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,femenino,20 A 29,HONDA,HONDA,ODISEY,2002,,,,,,465,461,616,9105,718,663955.314,2287803.624,matched (3),,,,,,,
5,martes,marzo,22:01 A 24:00,zapopan,DE LOS NOVELISTAS AV,MABUSE,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,30 A 39,DATSUN,DATSUN,SEDAN,1990,,,,,,602,596,748,9237,719,663349.5987,2287973.871,matched (3),,,,,,,
6,miercoles,marzo,02:01 A 04:00,zapopan,PATRIA AV,VALLARTA AV,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,40 A 49,NISSAN,NISSAN,ALTIMA,2017,,,,,,778,774,921,9410,720,664421.3198,2287427.622,matched (3),,,,,,,
7,jueves,marzo,16:01 A 18:00,zapopan,PATRIA AV,VALLARTA AV,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,20 A 29,GENERAL MOTORS,GENERAL MOTORS,SPARK,2016,,,,,,882,878,1026,9515,721,664398.043,2287432.015,matched (3),,,,,,,
16,sabado,marzo,14:01 A 16:00,zapopan,PATRIA AV,VALLARTA AV,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,VOLKSWAGEN,VOLKSWAGEN,POINTER,2001,,,,,,1975,1974,2106,10595,722,664409.7039,2287427.509,matched (3),,,,,,,
22,viernes,marzo,14:01 A 16:00,zapopan,JUAN PALOMAR Y ARIAS AV,VALLARTA AV,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,BUICK,BUICK,VERANO,2015,,,,,,2784,2792,2902,11391,723,663676.3136,2287584.381,matched (3),,,,,,,
22,viernes,marzo,14:01 A 16:00,zapopan,JUAN PALOMAR Y ARIAS AV,VALLARTA AV,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,femenino,20 A 29,KIA,KIA,SOUL,2016,,,,,,2792,2800,2910,11399,724,663664.6307,2287591.197,matched (3),,,,,,,
25,lunes,marzo,16:01 A 18:00,zapopan,DE LOS NOVELISTAS AV,JUAN PALOMAR Y ARIAS AV,COL JARDINES VALLARTA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,N.D,N.D,DODGE,DODGE,ATTITUDE,2016,,,,,,3004,3013,3119,11608,725,663733.3578,2287931.393,matched (3),,,,,,,
1,martes,enero,08:01 A 10:00,zapopan,INGLATERRA AV,LOPEZ COTILLA COL JOCOTAN,COL JOCOTAN,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,FORD,FORD,F-350 ,1994,,2,,,,48,49,225,225,726,662760.3532,2288606.221,matched (3),,,,,,,
15,martes,enero,16:01 A 18:00,zapopan,ABASOLO COL JOCOTAN,LOPEZ COTILLA COL JOCOTAN,COL JOCOTAN,CHOQUE,SIN ELEMENTOS,MOTOCICLETA,masculino,20 A 29,HONDA,HONDA,150CC,2018,,2,,,,1506,1515,1667,1665,727,662621.1888,2288039.597,matched (3),,,,,,,
3,domingo,marzo,18:01 A 20:00,zapopan,VALLARTA AV,FRENTE AL 5701,COL JOCOTAN,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,60 A 69,NISSAN,NISSAN,VERSA,2017,,,,,,293,294,451,8940,728,663006.9311,2287730.929,matched (3),,,,,,,
